,index,condition,genotype,sex,replicate,count
0,0,cont,mhc,f,1,37
1,1,cont,mhc,f,2,37
2,2,cont,mhc,f,3,56
3,3,cont,mhc,f,4,59
4,4,cont,mhc,f,5,52
5,5,cont,mhc,m,1,32
6,6,cont,mhc,m,2,35
7,7,cont,mhc,m,3,26
8,8,cont,mhc,m,4,36
9,9,cont,mhc,m,5,54
10,10,cont,mhc,m,6,70
11,11,cont,mhc,m,7,64
12,12,expt,mhc,f,1,26
13,13,expt,mhc,f,2,20
14,14,expt,mhc,f,3,19
15,15,expt,mhc,f,4,19
16,16,expt,mhc,f,5,29
17,17,expt,mhc,m,1,6
18,18,expt,mhc,m,2,11
19,19,expt,mhc,m,3,6
20,20,expt,mhc,m,4,7
21,21,expt,mhc,m,5,24
